Rank,Artist,Song,Released
1,Bob Dylan,Like a Rolling Stone,1965
2,The Rolling Stones,Satisfaction,1985
3,John Lennon,Imagine,1971
4,Marvin Gaye,What's Going On,1971
5,Aretha Franklin,Respect,1967
6,The Beach Boys,Good Vibrations,1966
7,Chuck Berry,Johnny B. Goode,1958
8,The Beatles,Hey Jude,1969
9,Nirvana,Smells Like Teen Spirit,1991
10,Ray Charles,What'd I Say (Parts 1 And 2),1959
11,The Who,My Generation,1966
12,Sam Cooke,A Change Is Gonna Come,1960
13,The Beatles,Yesterday,1966
14,Bob Dylan,Blowin' in the Wind,1967
15,The Clash,London Calling,1979
16,The Beatles,I Want to Hold Your Hand,1966
17,Jimi Hendrix,Purple Haze,1968
18,Chuck Berry,Maybellene,1955
19,Elvis Presley,Hound Dog,1956
20,The Beatles,Let It Be,1969
21,Bruce Springsteen,Born to Run,1975
22,The Ronettes,Be My Baby,1963
23,The Beatles,In My Life,1966
24,The Impressions,People Get Ready,2003
25,The Beach Boys,God Only Knows,1966
26,The Beatles,A Day in the Life,1969
27,Derek & The Dominos,Layla,1972
28,Otis Redding,(Sittin' On) the Dock of the Bay,1968
29,The Beatles,Help!,1966
30,Johnny Cash,I Walk the Line,1956
31,Led Zeppelin,Stairway to Heaven,1971
32,The Rolling Stones,Sympathy for the Devil,1968
33,Tina Turner,River Deep - Mountain High,1991
34,The Righteous Brothers,You've Lost That Lovin' Feelin',1964
35,The Doors,Light My Fire,1967
36,U2,One,1992
37,Bob Marley & The Wailers,No Woman No Cry,1974
38,The Rolling Stones,Gimme Shelter,1969
39,Buddy Holly,That'll Be the Day,1957
40,Martha Reeves & The Vandellas,Dancing in the Street,1964
41,The Band,The Weight,1968
42,The Kinks,Waterloo Sunset,1967
43,Little Richard,Tutti-Frutti,1956
44,Ray Charles,Georgia on My Mind,1960
45,Elvis Presley,Heartbreak Hotel,1956
46,David Bowie,Heroes,1998
47,Simon & Garfunkel,Bridge Over Troubled Water,1970
48,Jimi Hendrix,All Along the Watchtower,1968
